parcel_id,max_built_dua,max_built_non_res_far,zoningmodcat
10000,108.0,,53000OKD1brt3NANA
10001,104.0,,53000OKD1brt3NANA
10007,103.0,,53000OKD1brt3NANA
10008,105.0,,53000OKD1brt3NANA
10025,103.0,,53000OKD1brt3NANA
10028,103.0,,53000OKD1brt3NANA
10113,113.0,,53000NAbrt3NANA
10894,8.0,,53000NAb3NANA
12298,8.0,,53000NAb2NANA
12364,111.0,,53000OKD1lrt2NANA
12369,110.0,,53000NAb2NANA
12391,34.0,,53000OKD1lrt2NANA
12468,109.0,,53000OKD6lrt2NANA
12512,106.0,,53000OKD6lrt2NANA
12619,76.0,,53000OKD6bart1NANA
12626,86.0,,53000OKD6bart1NANA
12647,88.0,,53000OKD6bart1NANA
12651,87.0,,53000OKD6bart1NANA
12671,79.0,,53000OKD6bart1NANA
12678,71.0,,53000OKD6bart1NANA
12710,108.0,,53000OKD6bart1NANA
12714,110.0,,53000OKD6bart1NANA
12726,106.0,,53000OKD6bart1NANA
12736,81.0,,53000OKD6bart1NANA
12753,78.0,,53000OKD6bart1NANA
12757,81.0,,53000OKD6bart1NANA
12769,90.0,,53000OKD6bart1NANA
12792,87.0,,53000OKD6bart1NANA
